host	symbiont	MOI	date	flow_infected	transmission	type
qs18	bb395	1%_6	20210501a	36.69679021	10.49852883	nonnative
qs18	bb395	1%_6	20210501a	36.8426905	9.139739289	nonnative
qs18	bb395	1%_6	20210501a	36.53316037	9.332094124	nonnative
qs18	bb859	1%_6	20210501b	65.98796947	30.70378193	nonnative
qs18	bb859	1%_6	20210501b	62.74202952	31.23629987	nonnative
qs18	bb859	1%_6	20210501b	70.38133911	33.51695679	nonnative
qs17	bb395	1%_6	20210509a	46.5101946	12.37561288	nonnative
qs17	bb395	1%_6	20210509a	46.45081072	11.33600702	nonnative
qs17	bb395	1%_6	20210509a	46.10618751	11.38468583	nonnative
qs17	bb859	1%_6	20210509b	80.55243019	43.38916685	nonnative
qs17	bb859	1%_6	20210509b	79.87644678	43.46826127	nonnative
qs17	bb859	1%_6	20210509b	79.369552	43.41463415	nonnative
qs17	bb433	1%_6	20210515a	40.14799518	8.860833708	nonnative
qs17	bb433	1%_6	20210515a	40.12604616	9.772520833	nonnative
qs17	bb433	1%_6	20210515a	39.91267706	9.234760566	nonnative
qs17	bb859	1%_6	20210515b	67.00559588	28.31534119	nonnative
qs17	bb859	1%_6	20210515b	66.34051676	28.13490579	nonnative
qs17	bb859	1%_6	20210515b	68.6599358	27.96131513	nonnative
qs17	bb395	5%_30	20210518a	35.4058969	6.104279699	nonnative
qs17	bb395	5%_30	20210518a	35.62083487	6.043322359	nonnative
qs17	bb395	5%_30	20210518a	36.25973707	5.681049069	nonnative
qs17	bb433	5%_30	20210518b	38.22484243	6.832139745	nonnative
qs17	bb433	5%_30	20210518b	37.55195409	6.877139916	nonnative
qs17	bb433	5%_30	20210518b	38.24995667	6.610992179	nonnative
qs17	bb859	0.2%_1.2	20210518c	36.71552126	12.60682218	nonnative
qs17	bb859	0.2%_1.2	20210518c	35.51825834	12.39545926	nonnative
qs17	bb859	0.2%_1.2	20210518c	35.58785701	12.42128122	nonnative
qs4	bb395	5%_30	20210526a	47.77386518	12.66486206	nonnative
qs4	bb395	5%_30	20210526a	46.97176892	12.533211	nonnative
qs4	bb395	5%_30	20210526a	46.77618237	12.08208571	nonnative
qs4	bb433	5%_30	20210526b	50.4613136	14.82146997	nonnative
qs4	bb433	5%_30	b	51.67105263	14.70843373	nonnative
qs4	bb433	5%_30	20210526b	50.97933914	14.5827345	nonnative
qs4	bb859	0.2%_1.2	20210526c	50.96359962	21.9185831	nonnative
qs4	bb859	0.2%_1.2	20210526c	50.79212576	22.82002263	nonnative
qs4	bb859	0.2%_1.2	20210526c	48.61626422	21.5571451	nonnative
qs18	bb395	5%_30	20210527a	49.55738798	13.05110272	nonnative
qs18	bb395	5%_30	20210527a	48.30620415	12.30925738	nonnative
qs18	bb395	5%_30	20210527a	48.38075045	11.69170748	nonnative
qs18	bb433	5%_30	20210527b	46.08648944	10.00816818	nonnative
qs18	bb433	5%_30	20210527b	45.39106145	9.639250257	nonnative
qs18	bb433	5%_30	20210527b	45.4594523	10.15557101	nonnative
qs18	bb859	0.2%_1.2	20210527c	63.02552515	28.52858482	nonnative
qs18	bb859	0.2%_1.2	20210527c	62.00645416	28.20684742	nonnative
qs18	bb859	0.2%_1.2	20210527c	63.09035011	28.21050847	nonnative
qs4	bb395	0.2%_1.2	20210610a	25.68342107	5.325104062	nonnative
qs4	bb395	0.2%_1.2	20210610a	25.27607611	4.620272625	nonnative
qs4	bb395	0.2%_1.2	20210610a	25.56302953	4.847739157	nonnative
qs4	bb433	0.2%_1.2	20210610b	31.41582986	8.381335789	nonnative
qs4	bb433	0.2%_1.2	20210610b	31.00120136	7.958117407	nonnative
qs4	bb433	0.2%_1.2	20210610b	30.55062891	7.947205236	nonnative
qs4	bb859	5%_30	20210610c	51.18134179	19.37075326	nonnative
qs4	bb859	5%_30	20210610c	49.78542085	18.85905434	nonnative
qs4	bb859	5%_30	20210610c	49.64796614	18.59504132	nonnative
qs17	bb395	0.2%_1.2	20210618	25.85857966	4.722910312	nonnative
qs17	bb395	0.2%_1.2	20210618	23.7329395	4.14510976	nonnative
qs17	bb395	0.2%_1.2	20210618	24.97860636	4.478292405	nonnative
qs18	bb395	0.2%_1.2	20210625a	44.70870452	15.20528206	nonnative
qs18	bb395	0.2%_1.2	20210625a	41.79340131	12.79186928	nonnative
qs18	bb395	0.2%_1.2	20210625a	41.52826963	12.508726	nonnative
qs18	bb433	0.2%_1.2	20210625b	36.61246473	12.21593274	nonnative
qs18	bb433	0.2%_1.2	20210625b	36.43546249	12.51513254	nonnative
qs18	bb433	0.2%_1.2	20210625b	36.72440232	12.37104738	nonnative
qs18	bb859	5%_30	20210625c	64.47792006	28.78563678	nonnative
qs18	bb859	5%_30	20210625c	63.20203485	28.04977927	nonnative
qs18	bb859	5%_30	20210625c	64.29125263	29.31374306	nonnative
qs17	bb433	0.2%_1.2	20210702a	34.66663972	8.559320071	nonnative
qs17	bb433	0.2%_1.2	20210702a	34.22003949	8.588375922	nonnative
qs17	bb433	0.2%_1.2	20210702a	35.82844508	9.194367498	nonnative
qs17	bb433	2%_12	20210702b	41.92297541	8.165894451	nonnative
qs17	bb433	2%_12	20210702b	39.74688151	8.407528989	nonnative
qs17	bb433	2%_12	20210702b	41.29960398	8.488400597	nonnative
qs17	bb859	5%_30	20210702c	56.75084329	20.79614102	nonnative
qs17	bb859	5%_30	20210702c	56.99553531	20.85722705	nonnative
qs17	bb859	5%_30	20210702c	56.41710148	19.49516406	nonnative
qs4	bb859	1%_6	20210703a	59.75297911	25.57398781	nonnative
qs4	bb859	1%_6	20210703a	62.25676582	27.9148488	nonnative
qs4	bb859	1%_6	20210703a	59.83470236	25.17152903	nonnative
qs4	bb859	2%_12	20210703b	39.24513438	10.46292585	nonnative
qs4	bb859	2%_12	20210703b	39.3372647	10.39036745	nonnative
qs4	bb859	2%_12	20210703b	39.02327472	9.787800012	nonnative
qs17	bb433	0.05%_0.3	20220216	13.02474803	1.499855783	nonnative
qs17	bb433	0.05%_0.3	20220216	13.42951602	1.587332054	nonnative
qs17	bb433	0.05%_0.3	20220216	12.95987551	1.382266995	nonnative
qs18	bb859	0.05%_0.3	20220217	45.27252391	15.17913121	nonnative
qs18	bb859	0.05%_0.3	20220217	47.08104949	15.17268653	nonnative
qs18	bb859	0.05%_0.3	20220217	45.47671103	13.2683396	nonnative
qs395	bb395	0.1%_0.6	20210917	34.96620599	7.595606722	native
qs395	bb395	0.1%_0.6	20210917	35.33719742	7.481094537	native
qs395	bb395	0.1%_0.6	20210917	35.77003463	7.265995823	native
qs395	bb395	0.5%_3	20210917	53.75980798	12.48493371	native
qs395	bb395	0.5%_3	20210917	54.3149565	12.16614845	native
qs395	bb395	0.5%_3	20210917	54.47596708	12.57370136	native
qs395	bb395	2.5%_15	20210917	48.90009397	9.649355071	native
qs395	bb395	2.5%_15	20210917	50.10779898	9.346059883	native
qs395	bb395	2.5%_15	20210917	50.45152548	9.287949037	native
qs395	bb433	0.05%_0.3	20220120	11.74349548	1.190500839	native
qs395	bb433	0.05%_0.3	20220120	12.00084662	1.272776269	native
qs395	bb433	0.05%_0.3	20220120	12.21293205	1.380136774	native
qs395	bb433	0.1%_0.6	20211108	37.44960036	10.7688474	native
qs395	bb433	0.1%_0.6	20211108	37.56797537	10.20834131	native
qs395	bb433	0.1%_0.6	20211108	37.59616355	10.03897351	native
qs395	bb433	0.5%_3	20211108	43.71457772	9.892700221	native
qs395	bb433	0.5%_3	20211108	43.75753243	9.798319016	native
qs395	bb433	0.5%_3	20211108	43.84524848	8.813753981	native
qs395	bb433	2.5%_15	20211108	35.47684035	7.844911011	native
qs395	bb433	2.5%_15	20211108	35.75294525	7.730591305	native
qs395	bb433	2.5%_15	20211108	36.09528689	8.018111703	native
qs395	bb859	0.1%_0.6	20211105	31.44689662	6.766632848	native
qs395	bb859	0.1%_0.6	20211105	33.6396038	7.14521023	native
qs395	bb859	0.1%_0.6	20211105	35.79996365	7.186934126	native
qs395	bb859	0.5%_3	20211105	43.48398332	10.4948311	native
qs395	bb859	0.5%_3	20211105	44.51486146	10.41303083	native
qs395	bb859	0.5%_3	20211105	47.575326	10.32341051	native
qs395	bb859	0.7%_4.2	20220318	71.26077216	38.11271905	native
qs395	bb859	0.7%_4.2	20220318	72.33969435	36.59574468	native
qs395	bb859	0.7%_4.2	20220318	75.30780788	38.70063984	native
qs395	bb859	2.5%_15	20211105	48.98946626	10.42274978	native
qs395	bb859	2.5%_15	20211105	49.53995157	10.45086073	native
qs395	bb859	2.5%_15	20211105	49.82025798	10.30723305	native
qs433	bb395	0.05%_0.3	20220216	20.43002077	2.287385976	native
qs433	bb395	0.05%_0.3	20220216	20.74919549	2.030842996	native
qs433	bb395	0.05%_0.3	20220216	21.07703604	2.25016089	native
qs433	bb395	0.1%_0.6	20211022	32.68532365	6.760955168	native
qs433	bb395	0.1%_0.6	20211022	32.78102337	6.580151554	native
qs433	bb395	0.1%_0.6	20211022	33.20614182	7.666228833	native
qs433	bb395	0.5%_3	20211022	45.13191335	9.931924969	native
qs433	bb395	0.5%_3	20211022	45.15482402	10.54211874	native
qs433	bb395	0.5%_3	20211022	45.20902589	9.98288018	native
qs433	bb395	2.5%_15	20211022	39.68981425	6.668751337	native
qs433	bb395	2.5%_15	20211022	40.03481288	6.472170627	native
qs433	bb395	2.5%_15	20211022	42.2743755	6.968267581	native
qs433	bb433	0.05%_0.3	20211202	16.33293636	2.898420836	native
qs433	bb433	0.05%_0.3	20211202	16.3971077	2.549033367	native
qs433	bb433	0.05%_0.3	20211202	16.7445145	2.991529043	native
qs433	bb433	0.1%_0.6	20211202	21.34430395	2.901972862	native
qs433	bb433	0.1%_0.6	20211202	21.85133268	2.555425098	native
qs433	bb433	0.1%_0.6	20211202	21.93333266	2.743415973	native
qs433	bb433	0.2%_1.2	20220316	32.09482585	7.963128159	native
qs433	bb433	0.2%_1.2	20220316	33.01314612	8.238378542	native
qs433	bb433	0.2%_1.2	20220316	33.37496978	8.120621869	native
qs433	bb433	0.7%_4.2	20220316	45.74115603	11.76358618	native
qs433	bb433	0.7%_4.2	20220316	44.93715577	10.11692933	native
qs433	bb433	0.7%_4.2	20220316	44.81347093	10.42214432	native
qs433	bb859	0.05%_0.3	20220120	28.82696973	5.676433973	native
qs433	bb859	0.05%_0.3	20220120	30.03708033	6.468182073	native
qs433	bb859	0.05%_0.3	20220120	30.26461526	6.495925933	native
qs433	bb859	0.1%_0.6	20211117	39.51025811	11.71998068	native
qs433	bb859	0.1%_0.6	20211117	39.63174179	11.33230594	native
qs433	bb859	0.1%_0.6	20211117	39.85827808	10.31994583	native
qs433	bb859	0.5%_3	20211117	47.87688569	12.3259516	native
qs433	bb859	0.5%_3	20211117	48.19766441	11.27615808	native
qs433	bb859	0.5%_3	20211117	49.62674489	12.69379651	native
qs433	bb859	0.7%_4.2	20220316	66.61553986	28.43739951	native
qs433	bb859	0.7%_4.2	20220316	67.03771105	27.49462	native
qs433	bb859	0.7%_4.2	20220316	63.50801555	26.07036239	native
qs433	bb859	2.5%_15	20211117	44.8610279	10.09534256	native
qs433	bb859	2.5%_15	20211117	48.48100881	12.54955715	native
qs433	bb859	2.5%_15	20211117	49.3892467	11.9616821	native
qs859	bb395	0.05%_0.3	20220216	17.98467456	1.582177586	native
qs859	bb395	0.05%_0.3	20220216	17.24148428	1.464574978	native
qs859	bb395	0.05%_0.3	20220216	18.80228175	1.597288466	native
qs859	bb395	0.1%_0.6	20211001	38.55947617	6.880567026	native
qs859	bb395	0.1%_0.6	20211001	40.94113376	6.763479465	native
qs859	bb395	0.1%_0.6	20211001	41.13786439	7.727118999	native
qs859	bb395	0.5%_3	20211001	37.8924426	5.367570226	native
qs859	bb395	0.5%_3	20211001	39.49139248	5.382942963	native
qs859	bb395	0.5%_3	20211001	40.71370641	5.229791521	native
qs859	bb395	2.5%_15	20211001	31.3599673	4.166923694	native
qs859	bb395	2.5%_15	20211001	32.18228966	4.347276434	native
qs859	bb395	2.5%_15	20211001	32.88128034	3.662489024	native
qs859	bb433	0.1%_0.6	20211028	18.39240353	2.591865993	native
qs859	bb433	0.1%_0.6	20211028	19.13346143	2.111424487	native
qs859	bb433	0.1%_0.6	20211028	19.45935021	2.446217248	native
qs859	bb433	0.5%_3	20211028	26.8418289	2.974631445	native
qs859	bb433	0.5%_3	20211028	27.87975257	3.27208429	native
qs859	bb433	0.5%_3	20211028	28.62411462	3.327672797	native
qs859	bb433	2.5%_15	20211028	35.18583632	4.455169403	native
qs859	bb433	2.5%_15	20211028	38.64215137	5.951534241	native
qs859	bb433	2.5%_15	20211028	38.65714553	5.558511312	native
qs859	bb859	0.1%_0.6	20211119	29.77969824	6.316625485	native
qs859	bb859	0.1%_0.6	20211119	32.36945422	6.578969502	native
qs859	bb859	0.1%_0.6	20211119	35.07938429	6.967084366	native
qs859	bb859	0.5%_3	20211119	38.75252525	7.521789239	native
qs859	bb859	0.5%_3	20211119	41.35507621	8.256212198	native
qs859	bb859	0.5%_3	20211119	41.42317087	7.847402168	native
qs859	bb859	0.7%_4.2	20220217	68.82948064	24.08095325	native
qs859	bb859	0.7%_4.2	20220217	69.15165543	26.44015038	native
qs859	bb859	0.7%_4.2	20220217	71.39135283	24.57466919	native
qs859	bb859	1.5%_9	20220217	53.94054893	15.21723415	native
qs859	bb859	1.5%_9	20220217	52.18817497	14.51088683	native
qs859	bb859	1.5%_9	20220217	53.7898715	15.54245902	native
qs859	bb859	2.5%_15	20211119	43.39895013	8.356621119	native
qs859	bb859	2.5%_15	20211119	44.27551907	9.295462198	native
qs859	bb859	2.5%_15	20211119	44.53218884	7.370262811	native
