host	symbiont	MOI	date	total_spore	flow_infected	percent_spore	type
qs17	bb395	2.5%_15	20210918	1738.5	90.4	95.3125	nonnative
qs433	bb395	control	20210918	1799.125	0.65	100.580014	native
qs433	bb395	control	20210918	1780.625	0.77	99.54577219	native
qs433	bb395	control	20210918	1786.5	0.53	99.87421384	native
qs433	bb395	0.1%_0.6	20210918	1767	36.4	98.78406709	native
qs433	bb395	0.1%_0.6	20210918	1665	31.1	93.08176101	native
qs433	bb395	0.1%_0.6	20210918	1660.375	31	92.82320056	native
qs433	bb395	0.5%_3	20210918	1467.75	67.4	82.05450734	native
qs433	bb395	0.5%_3	20210918	1677	65.2	93.75262055	native
qs433	bb395	0.5%_3	20210918	1569.75	62.2	87.75681342	native
qs433	bb395	2.5%_15	20210918	1378.25	90.5	77.05101328	native
qs433	bb395	2.5%_15	20210918	1486.875	92.7	83.12368973	native
qs433	bb395	2.5%_15	20210918	1553.25	93.9	86.83438155	native
qs18	bb395	control	20210925	1828.75	0.031	102.3959103	nonnative
qs18	bb395	control	20210925	1767	0.021	98.93838608	nonnative
qs18	bb395	control	20210925	1762.125	0.018	98.66542364	nonnative
qs18	bb395	0.1%_0.6	20210925	1577.125	32.1	88.30684898	nonnative
qs18	bb395	0.1%_0.6	20210925	1543.75	36.6	86.43810612	nonnative
qs18	bb395	0.1%_0.6	20210925	1530.875	42.8	85.71720531	nonnative
qs18	bb395	0.5%_3	20210925	1334.75	84	74.73571637	nonnative
qs18	bb395	0.5%_3	20210925	1443	80.2	80.79688235	nonnative
qs18	bb395	0.5%_3	20210925	1496.25	74.6	83.77847208	nonnative
qs18	bb395	2.5%_15	20210925	1345.875	95.6	75.35863065	nonnative
qs18	bb395	2.5%_15	20210925	1429.125	96.3	80.01998925	nonnative
qs18	bb395	2.5%_15	20210925	1239.5	96.4	69.40245022	nonnative
qs859	bb395	control	20210925	1456.875	0.005	96.72712908	native
qs859	bb395	control	20210925	1584.375	0.004	105.192309	native
qs859	bb395	control	20210925	1477.25	0.002	98.07989802	native
qs859	bb395	0.1%_0.6	20210925	1539	34.5	102.1797008	native
qs859	bb395	0.1%_0.6	20210925	1439.25	40.9	95.55694244	native
qs859	bb395	0.1%_0.6	20210925	1415.5	33.1	93.98009521	native
qs859	bb395	0.5%_3	20210925	1458.25	72.1	96.81842023	native
qs859	bb395	0.5%_3	20210925	1410.75	69.3	93.66472576	native
qs859	bb395	0.5%_3	20210925	1391.75	66	92.40324797	native
qs859	bb395	2.5%_15	20210925	1239.5	92.7	82.29482728	native
qs859	bb395	2.5%_15	20210925	1276.5	93.2	84.75138929	native
qs859	bb395	2.5%_15	20210925	1273	92.7	84.5190118	native
qs4	bb433	control	20211002	1993.375	0.017	105.3257986	nonnative
qs4	bb433	control	20211002	1817.625	0.013	96.03953334	nonnative
qs4	bb433	control	20211002	1866.75	0.012	98.6351964	nonnative
qs4	bb433	0.1%_0.6	20211002	1771.75	32.5	93.61559353	nonnative
qs4	bb433	0.1%_0.6	20211002	1863.875	33.6	98.48328736	nonnative
qs4	bb433	0.1%_0.6	20211002	1867.125	38.9	98.65501062	nonnative
qs4	bb433	0.5%_3	20211002	1686.75	65.2	89.12436991	nonnative
qs4	bb433	0.5%_3	20211002	1676.75	71.4	88.59599066	nonnative
qs4	bb433	0.5%_3	20211002	1632.625	68.1	86.26451722	nonnative
qs4	bb433	2.5%_15	20211002	1672	88.7	88.34501051	nonnative
qs4	bb433	2.5%_15	20211002	1672	90.9	88.34501051	nonnative
qs4	bb433	2.5%_15	20211002	1608.75	91.3	85.00301176	nonnative
qs395	bb433	control	20211002	1572.25	0.013	93.79791315	native
qs395	bb433	control	20211002	1706.25	0.019	101.7921382	native
qs395	bb433	control	20211002	1750.125	0.016	104.4096503	native
qs395	bb433	0.1%_0.6	20211002	1477.125	43.4	88.12290823	native
qs395	bb433	0.1%_0.6	20211002	1491.5	38.2	88.98049767	native
qs395	bb433	0.1%_0.6	20211002	1434.5	41.6	85.5799691	native
qs395	bb433	0.5%_3	20211002	1486.75	75	88.69712029	native
qs395	bb433	0.5%_3	20211002	1344.25	80.4	80.19579886	native
qs395	bb433	0.5%_3	20211002	1530.75	72.9	91.32208971	native
qs395	bb433	2.5%_15	20211002	1365	94.4	81.43371057	native
qs395	bb433	2.5%_15	20211002	1369.875	93.5	81.72454525	native
qs395	bb433	2.5%_15	20211002	1334.75	93.2	79.62904409	native
qs17	bb433	control	20211010	1876.25	0.008	99.67911427	nonnative
qs17	bb433	control	20211010	1952.25	0.017	103.7167493	nonnative
qs17	bb433	control	20211010	1818.375	0.007	96.60440208	nonnative
qs17	bb433	0.1%_0.6	20211010	1700.5	21.8	90.34208331	nonnative
qs17	bb433	0.1%_0.6	20211010	1572.25	24.8	83.52857424	nonnative
qs17	bb433	0.1%_0.6	20211010	1653	27.3	87.81856143	nonnative
qs17	bb433	0.5%_3	20211010	1524.75	55	81.00505236	nonnative
qs17	bb433	0.5%_3	20211010	1458.25	55.6	77.47212172	nonnative
qs17	bb433	0.5%_3	20211010	1425	57.8	75.70565641	nonnative
qs17	bb433	2.5%_15	20211010	1482	88.5	78.73388266	nonnative
qs17	bb433	2.5%_15	20211010	1444	86.1	76.71506516	nonnative
qs17	bb433	2.5%_15	20211010	1369	87.1	72.73055693	nonnative
qs433	bb433	control	20211010	1781.8125	0.013	101.7393725	native
qs433	bb433	control	20211010	1695.75	0.006	96.82530619	native
qs433	bb433	control	20211010	1776.5	0.01	101.4360351	native
qs433	bb433	0.1%_0.6	20211010	1596	49.4	91.12969995	native
qs433	bb433	0.1%_0.6	20211010	1493.875	50.1	85.29848403	native
qs433	bb433	0.1%_0.6	20211010	1406	57.3	80.28092614	native
qs433	bb433	0.5%_3	20211010	1453.5	66.9	82.99311959	native
qs433	bb433	0.5%_3	20211010	1461.5	72.4	83.44991007	native
qs433	bb433	0.5%_3	20211010	1534.25	66	87.60384846	native
qs433	bb433	2.5%_15	20211010	1156.625	98.1	66.04191053	native
qs433	bb433	2.5%_15	20211010	1258.75	97.9	71.87312645	native
qs433	bb433	2.5%_15	20211010	1339.5	95.9	76.48385531	native
qs18	bb433	control	20211023	1706.625	0.034	96.38518493	nonnative
qs18	bb433	control	20211023	1847.75	0.018	104.3555119	nonnative
qs18	bb433	control	20211023	1757.5	0.016	99.25845603	nonnative
qs18	bb433	0.1%_0.6	20211023	1686.25	19.4	95.23446457	nonnative
qs18	bb433	0.1%_0.6	20211023	1526.25	21.3	86.19813287	nonnative
qs18	bb433	0.1%_0.6	20211023	1524.75	23.8	86.11341726	nonnative
qs18	bb433	0.5%_3	20211023	1489.25	44.3	84.10848116	nonnative
qs18	bb433	0.5%_3	20211023	1521	50.3	85.90162823	nonnative
qs18	bb433	0.5%_3	20211023	1562.75	59.8	88.25954604	nonnative
qs18	bb433	2.5%_15	20211023	1392.125	85.6	78.62314543	nonnative
qs18	bb433	2.5%_15	20211023	1364.375	85.2	77.05590665	nonnative
qs18	bb433	2.5%_15	20211023	1477.25	87	83.43075628	nonnative
qs859	bb433	control	20211023	1639.5625	0.003	97.30110264	native
qs859	bb433	control	20211023	1658.0625	0.024	98.39899943	native
qs859	bb433	control	20211023	1757.5	0.045	104.3001947	native
qs859	bb433	0.1%_0.6	20211023	1458.25	20.4	86.54097232	native
qs859	bb433	0.1%_0.6	20211023	1496.25	18.7	88.79611167	native
qs859	bb433	0.1%_0.6	20211023	1443	20	85.63594929	native
qs859	bb433	0.5%_3	20211023	1535.5	55	91.12543322	native
qs859	bb433	0.5%_3	20211023	1425	60.1	84.5677254	native
qs859	bb433	0.5%_3	20211023	1377.5	43.5	81.74880122	native
qs859	bb433	2.5%_15	20211023	1311	86.2	77.80230736	native
qs859	bb433	2.5%_15	20211023	1165.5	85.3	69.16749751	native
qs859	bb433	2.5%_15	20211023	1084.5	86	64.36048996	native
qs4	bb859	control	20211030	2137.5	0	101.8138343	nonnative
qs4	bb859	control	20211030	1971	0.00405	93.88307247	nonnative
qs4	bb859	control	20211030	2189.75	0.00202	104.3026169	nonnative
qs4	bb859	0.1%_0.6	20211030	2037.75	21.8	97.06252203	nonnative
qs4	bb859	0.1%_0.6	20211030	2113.625	19	100.6766154	nonnative
qs4	bb859	0.1%_0.6	20211030	2122.875	19.3	101.1172133	nonnative
qs4	bb859	0.5%_3	20211030	1964.625	48.6	93.57941717	nonnative
qs4	bb859	0.5%_3	20211030	2030.375	41.1	96.71123453	nonnative
qs4	bb859	0.5%_3	20211030	2033	41.4	96.83626906	nonnative
qs4	bb859	2.5%_15	20211030	1823.25	72.4	86.84541445	nonnative
qs4	bb859	2.5%_15	20211030	1993.375	72.3	94.94884301	nonnative
qs4	bb859	2.5%_15	20211030	1952.25	74.4	92.98996866	nonnative
qs395	bb859	control	20211030	1857.25	0.012	104.1742623	native
qs395	bb859	control	20211030	1757.5	0.00504	98.57922516	native
qs395	bb859	control	20211030	1733.75	0.00907	97.24707347	native
qs395	bb859	0.1%_0.6	20211030	1809.75	22.1	101.5099589	native
qs395	bb859	0.1%_0.6	20211030	1691	23.3	94.84920043	native
qs395	bb859	0.1%_0.6	20211030	1786	29.6	100.1778072	native
qs395	bb859	0.5%_3	20211030	1643.5	49.6	92.18489705	native
qs395	bb859	0.5%_3	20211030	1828.125	42.4	102.5406236	native
qs395	bb859	0.5%_3	20211030	1710	43.4	95.91492178	native
qs395	bb859	2.5%_15	20211030	1629.25	76	91.38560603	native
qs395	bb859	2.5%_15	20211030	1683.5	79.5	94.42852095	native
qs395	bb859	2.5%_15	20211030	1780.625	80.9	99.87632023	native
qs17	bb859	control	20211106	1795.5	0.00503	104.7904192	nonnative
qs17	bb859	control	20211106	1729.75	0.00302	100.9530646	nonnative
qs17	bb859	control	20211106	1615	0.00805	94.25593258	nonnative
qs17	bb859	0.1%_0.6	20211106	1623.375	19.7	94.74472108	nonnative
qs17	bb859	0.1%_0.6	20211106	1596	19.1	93.14703925	nonnative
qs17	bb859	0.1%_0.6	20211106	1743.25	22.2	101.7409625	nonnative
qs17	bb859	0.5%_3	20211106	1567.5	52.4	91.48369927	nonnative
qs17	bb859	0.5%_3	20211106	1725.125	51.2	100.6831367	nonnative
qs17	bb859	0.5%_3	20211106	1667.25	53	97.30538922	nonnative
qs17	bb859	2.5%_15	20211106	1681.5	85.4	98.13705921	nonnative
qs17	bb859	2.5%_15	20211106	1604.875	86.2	93.66500916	nonnative
qs17	bb859	2.5%_15	20211106	1710	88.2	99.8003992	nonnative
qs433	bb859	control	20211106	1720.5	0.068	96.95907487	native
qs433	bb859	control	20211106	1868.5	0.01	105.2996405	native
qs433	bb859	control	20211106	1734.375	0.01	97.7410029	native
qs433	bb859	0.1%_0.6	20211106	1786	25.9	100.6503387	native
qs433	bb859	0.1%_0.6	20211106	1686.25	25.6	95.0289102	native
qs433	bb859	0.1%_0.6	20211106	1719.5	29.9	96.9027197	native
qs433	bb859	0.5%_3	20211106	1789.875	59	100.868715	native
qs433	bb859	0.5%_3	20211106	1665	61.6	93.83136278	native
qs433	bb859	0.5%_3	20211106	1623.375	62.3	91.48557871	native
qs433	bb859	2.5%_15	20211106	1387	89.1	78.16462473	native
qs433	bb859	2.5%_15	20211106	1453.5	90.8	81.91224372	native
qs433	bb859	2.5%_15	20211106	1505.75	89.1	84.85680151	native
qs18	bb859	control	20211113	1771.375	0.00604	100.8876346	nonnative
qs18	bb859	control	20211113	1705.25	0.00805	97.12152364	nonnative
qs18	bb859	control	20211113	1790.75	0.00201	101.9911265	nonnative
qs18	bb859	0.1%_0.6	20211113	1614.125	20.6	91.93155218	nonnative
qs18	bb859	0.1%_0.6	20211113	1648.25	20.7	93.87512174	nonnative
qs18	bb859	0.1%_0.6	20211113	1558	20.8	88.73498539	nonnative
qs18	bb859	0.5%_3	20211113	1600.75	58.7	91.16978682	nonnative
qs18	bb859	0.5%_3	20211113	1572.5	59	89.56082447	nonnative
qs18	bb859	0.5%_3	20211113	1600.25	50.5	91.14130961	nonnative
qs18	bb859	2.5%_15	20211113	1489.25	88	84.81936906	nonnative
qs18	bb859	2.5%_15	20211113	1431	84.7	81.50177413	nonnative
qs18	bb859	2.5%_15	20211113	1444.5	85.1	82.27065879	nonnative
qs859	bb859	control	20211113	1802	0.00603	102.4055647	native
qs859	bb859	control	20211113	1667.25	0.00201	94.74787886	native
qs859	bb859	control	20211113	1809.75	0	102.8459882	native
qs859	bb859	0.1%_0.6	20211113	1857.25	23.4	105.5453579	native
qs859	bb859	0.1%_0.6	20211113	1662.5	22.6	94.47794189	native
qs859	bb859	0.1%_0.6	20211113	1771.75	23	100.6864924	native
qs859	bb859	0.5%_3	20211113	1579.5	59.2	89.7611484	native
qs859	bb859	0.5%_3	20211113	1586.5	58.3	90.15895026	native
qs859	bb859	0.5%_3	20211113	1641.875	55.8	93.30584712	native
qs859	bb859	2.5%_15	20211113	1695.75	88	96.36750072	native
qs859	bb859	2.5%_15	20211113	1498.5	88.4	85.15801258	native
qs859	bb859	2.5%_15	20211113	1615	88.9	91.77857212	native
qs433	bb433	control	20211126	1942.5	0	103.627634	native
qs433	bb433	control	20211126	1804.5	0	96.26567085	native
qs433	bb433	control	20211126	1876.5	0	100.1066951	native
qs433	bb433	0.05%_0.3	20211126	1766.75	17.4	94.25180048	native
qs433	bb433	0.05%_0.3	20211126	1794.5	18.9	95.73219525	native
qs433	bb433	0.05%_0.3	20211126	1833.5	21.7	97.81275007	native
qs433	bb433	0.1%_0.6	20211126	1785.25	24	95.23873033	native
qs433	bb433	0.1%_0.6	20211126	1757.5	21.2	93.75833556	native
qs433	bb433	0.1%_0.6	20211126	1665	24.7	88.82368632	native
